# MEDIAN[ns] DELAY_PER_ANT[ns]
    - 4 [5, 5, 0, 0, 0, 0, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 5, 5, 10, 10, 0, 0, 2, 2, 6, 6, 7, 7, 3, 3, 2, 2]
    - 2 [4, 4, 1, 1, 0, 0, 1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 2, 2, 4, 4, 2, 2, 0, 0]
    - 4 [4, 4, 3, 3, 1, 1, 0, 0, 7, 7, 5, 5, 6, 6, 7, 7, 4, 4, 1, 1, 8, 8, 4, 4, 12, 12, 4, 4, 3, 3, 2, 2]
    - -29 [-25, -25, -29, -29, -31, -31, -31, -31, -28, -28, -29, -29, -29, -29, -30, -30, -27, -27, -28, -28, -30, -30, -29, -29, -27, -27, -25, -25, -26, -26, -29, -29]
    - 9 [9, 9, 13, 13, 15, 15, 12, 12, 9, 9, 5, 5, 8, 8, 10, 10, 6, 6, 8, 8, 9, 9, 6, 6, 21, 21, 11, 11, 9, 9, 7, 7]
    - 8 [9, 9, 0, 0, 7, 7, 12, 12, 7, 7, 6, 6, 119, 119, 6, 6, 11, 11, 8, 8, 8, 8, 7, 7, 13, 13, 10, 10, 9, 9, 8, 8]
    - 77 [88, 88, 76, 76, 77, 77, 74, 74, 81, 81, 77, 77, 76, 76, 78, 78, 78, 78, 81, 81, 74, 74, 75, 75, 80, 80, 78, 78, 76, 76, 75, 75]
    - 74 [74, 74, 74, 74, 72, 72, 73, 73, 74, 74, 75, 75, 74, 74, 75, 75, 77, 77, 78, 78, 72, 72, 72, 72, 80, 80, 78, 78, 72, 72, 74, 74]
    - 6 [8, 8, 5, 5, 10, 10, 4, 4, 4, 4, 13, 13, 16, 16, 14, 14, 0, 0, 6, 6, 5, 5, 6, 6, 9, 9, 0, 0, 6, 6, 5, 5]
    - 12 [13, 13, 11, 11, 14, 14, 9, 9, 14, 14, 12, 12, 12, 12, 15, 15, 9, 9, 12, 12, 10, 10, 12, 12, 14, 14, 13, 13, 0, 0, 11, 11]
    - -36 [-35, -35, -33, -33, -38, -38, -35, -35, -36, -36, -40, -40, -37, -37, -35, -35, -34, -34, -37, -37, -36, -36, -37, -37, -22, -22, -34, -34, -38, -38, -37, -37]
    - -40 [-28, -28, -39, -39, -40, -40, -43, -43, -41, -41, -41, -41, -40, -40, -42, -42, -38, -38, -38, -38, -37, -37, -42, -42, -34, -34, -36, -36, -41, -41, -41, -41]
    - -34 [0, 0, -36, -36, -34, -34, -36, -36, -32, -32, -36, -36, -32, -32, -36, -36, -30, -30, -29, -29, -35, -35, -33, -33, -31, -31, -29, -29, -34, -34, -35, -35]
    - -39 [-38, -38, -41, -41, 0, 0, -41, -41, -42, -42, -41, -41, -41, -41, -43, -43, -36, -36, -34, -34, -38, -38, -41, -41, -35, -35, 0, 0, -33, -33, -37, -37]
    - -36 [-36, -36, -38, -38, -34, -34, -38, -38, -33, -33, -32, -32, -35, -35, -29, -29, -39, -39, 0, 0, -39, -39, -38, -38, -32, -32, -35, -35, -38, -38, -37, -37]
    - -25 [-25, -25, -22, -22, -19, -19, -22, -22, -28, -28, -27, -27, -27, -27, -25, -25, -30, -30, -26, -26, -25, -25, -28, -28, 0, 0, -23, -23, -25, -25, -27, -27]
